資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,天候,地形,路面状態,道路形状,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,地点　緯度（北緯）_1,地点　経度（東経）_1,曜日(発生年月日),祝日(発生年月日),認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）
true,41,59,1,2,0,7,41020,721,203,2023,1,1,3,51,22,6,52,16,35,1,2,1,14,7,0,0,0,0,5,9,1,70,1,4,21,35,1,12,3,1,31,11,1,2,1,11,11,10,10,10,30,1,1,2,2,2,2,4,2,362353318,1394150644,36.398144,139.697401,1,1,9999,9999,1,5
true,41,59,2,2,0,3,41010,1125,201,2023,1,9,23,5,22,6,53,16,42,1,3,1,14,7,0,0,0,0,4,9,1,70,1,4,21,65,55,11,4,1,31,11,1,2,1,11,11,7,8,10,30,3,1,2,2,2,2,4,2,364211560,1395400432,36.703211,139.90012,2,1,9999,9999,9,9
true,41,59,3,2,0,1,41010,581,204,2023,1,23,19,55,22,6,49,16,56,2,3,1,14,7,0,0,0,0,5,9,1,70,1,4,41,75,0,13,75,31,0,11,0,2,0,11,0,7,0,15,0,2,0,1,0,2,0,2,0,361913444,1393706341,36.320401,139.618428,2,3,60,0,9,0
true,41,101,1,2,0,1,30000,0,201,2023,1,1,9,15,12,6,52,16,35,1,2,1,14,7,0,0,0,0,4,9,1,70,5,4,41,65,0,51,76,41,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,2,0,363310901,1395208645,36.553028,139.869068,1,1,0,0,0,0
true,41,101,2,2,0,1,30000,0,201,2023,1,5,13,2,12,6,53,16,38,1,1,1,14,7,0,0,0,0,3,9,1,70,4,3,41,75,0,51,76,41,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,2,0,363432336,1395208753,36.575649,139.869098,5,3,0,0,0,0
true,41,101,3,2,0,1,10030,0,201,2022,12,22,14,10,12,6,49,16,29,1,1,1,14,7,0,0,0,0,2,7,1,70,5,2,21,35,35,3,14,31,31,1,11,2,2,11,11,2,5,30,10,3,3,2,2,2,2,2,4,363301382,1395057257,36.550384,139.849238,5,3,9999,9999,1,1
true,41,101,4,2,0,1,10700,0,201,2023,1,12,6,30,23,6,52,16,45,1,1,1,14,7,0,0,0,0,3,9,1,70,4,3,1,55,45,22,61,0,0,0,0,0,0,11,0,3,0,80,0,3,0,0,0,0,0,4,2,363515382,1394946391,36.587606,139.829553,5,3,9999,0,9,0
true,41,101,5,2,0,1,99000,0,201,2023,1,4,14,25,12,6,53,16,38,1,1,1,0,7,0,0,0,0,0,0,20,70,0,4,21,35,75,4,51,31,41,1,0,1,0,11,0,10,0,50,40,3,3,2,0,2,0,4,2,363415308,1395056792,36.570919,139.849109,4,3,9999,0,1,0
true,41,101,6,2,0,1,30000,0,201,2023,1,1,16,19,13,6,52,16,35,1,1,1,14,7,0,0,0,0,4,9,1,70,4,2,21,55,65,3,4,31,31,1,1,1,1,11,11,3,3,80,10,3,3,2,2,2,2,4,4,363424690,1395251665,36.573525,139.881018,1,1,9999,9999,9,9
true,41,101,7,2,0,3,2930,0,201,2023,1,8,17,20,21,6,53,16,41,1,1,1,14,7,0,0,0,0,2,9,1,70,4,4,21,1,1,3,3,31,31,1,1,1,2,11,11,3,10,10,30,2,2,2,2,2,2,4,2,363900220,1395033713,36.650061,139.842698,1,2,9999,9999,5,1
